HospitalCode,TypeDescription,Age,ServiceSupport,AssetCondition,ServiceIntention,FrequencyMaintenanceRequirement,MaintenanceComplexity,TotalDowntime,AlternativeBackup,Operations,MaintenanceCost,Make,Model,Manufacturer,Brand,PurchaseDate,MonthsToFailure,FailureClass
PRK360,Infusion Pump,11,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #19,Medtronic,Alaris,2014-09-13,,1
PRK320,Infusion Pump,10,1,0,2,2,1,0.0,0,2,379.46,Germany,Infusomat Space #438,B. Braun Melsungen AG,Infusomat,2017-05-28,7,3
PRK358,Infusion Pump,8,1,0,2,1,1,5.33,0,2,199.09,Ireland,Alaris GP #930,Medtronic,Alaris,2011-04-26,8,2
PRK300,Physiologic Monitoring System,12,1,0,1,1,1,42.74,0,2,902.59,Japan,Life Scope #192,Nihon Kohden Corp,Nihon Kohden,2005-12-04,13,2
PRK330,Infusion Pump,1,1,0,2,1,1,315.26,0,2,19.43,USA,Sigma Spectrum #961,Baxter Healthcare Corp,Sigma,2011-02-13,54,2
PRK320,Ventilator,23,0,0,3,1,1,96.21,0,2,0.0,USA,Smartvent 7900 #51,Datex-Ohmeda Inc,Smartvent,2012-01-28,11,2
PRK312,Physiologic Monitoring System,30,1,0,1,1,1,0.0,0,2,0.0,Netherlands,IntelliVue #643,Koninklijke Philips N.V.,Philips,2004-11-21,,1
PRK320,Ventilator,1,0,0,3,2,1,12.64,1,2,90.48,UK,Blease 8200p #486,Blease Medical Equipment Ltd,Blease,2008-11-03,45,2
PRK341,Infusion Pump,14,1,0,2,1,1,36.92,0,1,1296.48,USA,Sigma Spectrum #516,Baxter Healthcare Corp,Sigma,2010-12-30,19,3
PRK333,Radiographic System,22,1,2,1,1,1,8.63,0,2,177.28,Germany,Somatom #38,Siemens Healthineers,Siemens,2020-10-16,5,3
PRK358,Infusion Pump,9,1,0,2,1,1,338.02,1,2,2223.62,USA,Sigma Spectrum #485,Baxter Healthcare Corp,Sigma,2013-06-06,21,2
PRK358,Infusion Pump,7,0,0,2,1,1,116.92,0,2,150.32,Germany,Infusomat Space #186,B. Braun Melsungen AG,Infusomat,2006-08-23,30,3
PRK333,Infusion Pump,6,0,0,2,1,1,68.75,1,2,102566.77,Ireland,Alaris GP #238,Medtronic,Alaris,2018-08-27,41,2
PRK360,Sphygmomanometers,5,0,0,1,1,1,75.2,0,2,354.01,Malaysia,MV-BP100 #59,Med-Vantage Sdn Bhd,MedVantage,2006-03-02,16,2
PRK300,Physiologic Monitoring System,10,1,1,1,1,1,485.64,0,1,1615.67,Japan,Life Scope #190,Nihon Kohden Corp,Nihon Kohden,2002-10-07,21,2
PRK319,Ventilator,19,1,0,3,1,1,0.0,1,2,0.0,UK,Blease 8200p #572,Blease Medical Equipment Ltd,Blease,2008-06-17,,1
PRK330,Infusion Pump,1,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #92,Medtronic,Alaris,1998-10-06,,1
PRK341,Sphygmomanometers,4,1,0,1,1,1,63.37,1,2,1723.78,USA,DS66 #155,Welch Allyn Inc,Welch Allyn,2016-07-25,55,2
PRK340,Infusion Pump,5,1,0,2,1,1,0.0,0,1,0.0,Ireland,Alaris GP #88,Medtronic,Alaris,2016-12-25,,1
PRK340,Infusion Pump,2,0,0,2,1,1,746.5,1,2,3522.67,Ireland,Alaris GP #373,Medtronic,Alaris,2009-02-12,38,2
PRK358,Sphygmomanometers,13,1,2,1,1,1,220.66,0,2,6848.62,Malaysia,MV-BP100 #508,Med-Vantage Sdn Bhd,MedVantage,2016-09-23,21,3
PRK319,Infusion Pump,12,1,0,2,1,1,112.04,0,2,75519.16,USA,Sigma Spectrum #221,Baxter Healthcare Corp,Sigma,2011-03-14,25,3
PRK358,Infusion Pump,16,1,2,2,2,1,0.0,0,2,0.0,Germany,Infusomat Space #568,B. Braun Melsungen AG,Infusomat,2010-07-27,,1
PRK340,Physiologic Monitoring System,1,1,0,1,1,1,115.74,1,2,0.0,Japan,Life Scope #897,Nihon Kohden Corp,Nihon Kohden,2009-07-19,49,2
PRK333,Infusion Pump,14,1,0,2,1,1,4.43,0,2,258.2,USA,Sigma Spectrum #657,Baxter Healthcare Corp,Sigma,2013-11-22,14,2
PRK319,Infusion Pump,19,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #635,B. Braun Melsungen AG,Infusomat,2017-04-21,,1
PRK319,Infusion Pump,13,1,0,2,1,1,13.04,1,2,257.16,Ireland,Alaris GP #252,Medtronic,Alaris,2004-03-31,27,2
PRK326,Infusion Pump,9,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #419,B. Braun Melsungen AG,Infusomat,2015-05-27,,1
PRK342,Defibrillator,8,1,0,3,1,1,13.56,0,2,9710.95,Netherlands,HeartStart XL #551,Koninklijke Philips N.V.,HeartStart,2007-08-31,42,2
PRK333,Physiologic Monitoring System,11,1,1,1,1,1,34.06,0,1,1546.04,Japan,Life Scope #813,Nihon Kohden Corp,Nihon Kohden,2012-04-11,27,2
PRK311,Infusion Pump,10,1,0,2,1,1,84.06,0,2,344.25,Germany,Infusomat Space #260,B. Braun Melsungen AG,Infusomat,2012-08-19,23,2
PRK342,Infusion Pump,5,0,2,2,1,1,630.06,0,2,0.0,Ireland,Alaris GP #817,Medtronic,Alaris,2019-01-18,19,3
PRK341,Infusion Pump,1,0,0,2,1,1,25.58,0,2,108.92,USA,Sigma Spectrum #129,Baxter Healthcare Corp,Sigma,2012-02-14,21,2
PRK360,Physiologic Monitoring System,6,0,0,1,1,1,760.53,0,2,1090.1,USA,CARESCAPE #711,GE Healthcare,GE,2004-10-04,49,2
PRK333,Sphygmomanometers,28,1,0,1,1,1,3.06,0,2,2397.03,Malaysia,MV-BP100 #821,Med-Vantage Sdn Bhd,MedVantage,2005-05-08,7,2
PRK341,Sphygmomanometers,1,0,0,1,1,1,5.96,0,2,5835.41,USA,DS66 #509,Welch Allyn Inc,Welch Allyn,2012-02-07,24,2
PRK333,Infusion Pump,10,1,0,2,1,1,11.88,0,2,0.0,Ireland,Alaris GP #498,Medtronic,Alaris,2018-11-18,22,2
PRK342,Infusion Pump,24,0,2,2,1,1,216.38,0,2,0.0,Ireland,Alaris GP #519,Medtronic,Alaris,2018-08-19,12,2
PRK330,Infusion Pump,16,1,2,2,2,1,10.22,0,2,134.14,Ireland,Alaris GP #523,Medtronic,Alaris,2001-04-22,20,2
PRK311,Physiologic Monitoring System,18,1,0,1,1,1,5.79,0,1,4721.87,Japan,Life Scope #808,Nihon Kohden Corp,Nihon Kohden,2014-06-17,22,2
PRK360,Infusion Pump,16,1,0,2,1,1,1385.42,0,2,0.0,Germany,Infusomat Space #798,B. Braun Melsungen AG,Infusomat,2017-08-04,12,2
PRK342,Physiologic Monitoring System,2,1,0,1,1,1,43.0,0,2,649.69,Japan,Life Scope #148,Nihon Kohden Corp,Nihon Kohden,2018-02-02,41,2
PRK341,Physiologic Monitoring System,21,1,2,1,1,1,0.0,0,2,0.0,Japan,Life Scope #73,Nihon Kohden Corp,Nihon Kohden,2011-01-11,,1
PRK333,Infusion Pump,23,1,1,2,1,1,349.72,0,2,9274.97,Ireland,Alaris GP #558,Medtronic,Alaris,2015-04-30,10,2
PRK342,Infusion Pump,3,0,0,2,1,1,233.12,1,2,0.0,Ireland,Alaris GP #398,Medtronic,Alaris,2009-07-10,54,2
PRK311,Infusion Pump,6,1,0,2,1,1,525.93,0,2,1474.91,Germany,Infusomat Space #922,B. Braun Melsungen AG,Infusomat,2003-07-03,14,2
PRK320,Infusion Pump,9,1,0,2,1,1,0.0,1,2,0.0,Germany,Infusomat Space #217,B. Braun Melsungen AG,Infusomat,2019-02-24,,1
PRK311,Infusion Pump,6,1,0,2,1,1,6.83,0,2,77.75,Ireland,Alaris GP #826,Medtronic,Alaris,2010-01-11,14,3
PRK311,Physiologic Monitoring System,5,1,0,1,1,1,0.0,0,2,0.0,Japan,Life Scope #790,Nihon Kohden Corp,Nihon Kohden,2006-07-17,,1
PRK300,Infusion Pump,5,0,0,2,1,1,28.97,1,2,27327.32,USA,Sigma Spectrum #438,Baxter Healthcare Corp,Sigma,2014-08-14,29,2
PRK342,Infusion Pump,14,1,2,2,1,1,161.16,1,2,14029.1,Germany,Infusomat Space #840,B. Braun Melsungen AG,Infusomat,2014-07-20,22,2
PRK319,Physiologic Monitoring System,17,1,0,1,1,1,277.04,0,1,131.88,USA,CARESCAPE #772,GE Healthcare,GE,2011-07-19,23,3
PRK358,Physiologic Monitoring System,5,0,0,1,1,1,12.81,0,2,6223.45,Japan,Life Scope #120,Nihon Kohden Corp,Nihon Kohden,2011-12-28,26,3
PRK358,Infusion Pump,17,1,1,2,1,1,18.83,0,2,85.32,Ireland,Alaris GP #150,Medtronic,Alaris,2013-03-09,29,3
PRK312,Ventilator,6,0,0,3,1,1,46.52,0,2,1.61,UK,Blease 8200p #351,Blease Medical Equipment Ltd,Blease,2015-05-17,38,2
PRK342,Sphygmomanometers,3,0,0,1,1,1,0.0,0,2,0.0,USA,DS66 #908,Welch Allyn Inc,Welch Allyn,2014-09-28,,1
PRK330,Physiologic Monitoring System,11,1,1,1,2,1,0.0,0,2,0.0,Netherlands,IntelliVue #463,Koninklijke Philips N.V.,Philips,2011-05-19,,1
PRK358,Physiologic Monitoring System,9,0,0,1,1,1,0.0,0,2,0.0,Japan,Life Scope #512,Nihon Kohden Corp,Nihon Kohden,2010-04-09,,1
PRK333,Infusion Pump,11,1,0,2,1,1,2.83,0,2,1170.91,USA,Sigma Spectrum #578,Baxter Healthcare Corp,Sigma,2012-09-01,10,2
PRK326,Sphygmomanometers,11,1,0,1,1,1,1006.26,0,2,320.17,Malaysia,MV-BP100 #793,Med-Vantage Sdn Bhd,MedVantage,1995-10-16,10,2
PRK319,Infusion Pump,10,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #714,B. Braun Melsungen AG,Infusomat,1996-01-19,,1
PRK358,Defibrillator,8,0,0,3,1,1,0.0,0,2,0.0,Netherlands,HeartStart XL #527,Koninklijke Philips N.V.,HeartStart,2012-01-22,4,3
PRK319,Physiologic Monitoring System,17,1,0,1,1,1,153.87,1,2,6180.77,Netherlands,IntelliVue #423,Koninklijke Philips N.V.,Philips,2004-01-14,8,2
PRK358,Infusion Pump,14,0,0,2,2,1,0.0,0,1,0.0,Ireland,Alaris GP #612,Medtronic,Alaris,2006-04-20,,1
PRK312,Infusion Pump,6,1,0,2,1,1,0.0,1,2,0.0,USA,Sigma Spectrum #351,Baxter Healthcare Corp,Sigma,2020-07-15,49,2
PRK341,Physiologic Monitoring System,6,0,0,1,1,1,41.91,0,2,210.01,USA,CARESCAPE #389,GE Healthcare,GE,1998-01-09,20,2
PRK330,Physiologic Monitoring System,2,0,0,1,1,1,0.0,1,2,0.0,Netherlands,IntelliVue #580,Koninklijke Philips N.V.,Philips,2013-12-14,,1
PRK310,Infusion Pump,2,1,0,2,1,1,47.08,0,2,245.73,USA,Sigma Spectrum #166,Baxter Healthcare Corp,Sigma,1997-07-21,13,2
PRK311,Physiologic Monitoring System,8,1,1,1,1,1,0.0,1,2,0.0,USA,CARESCAPE #459,GE Healthcare,GE,2016-06-12,,1
PRK319,Ventilator,15,1,0,3,1,1,0.0,1,2,0.0,Germany,Evita V500 #519,Drager Medical AG & Co KGaA,Evita,2015-03-05,,1
PRK342,Infusion Pump,4,1,0,2,1,1,157.14,0,2,423.03,Ireland,Alaris GP #974,Medtronic,Alaris,2009-03-20,22,3
PRK342,Infusion Pump,14,1,0,2,1,1,77.41,0,1,8788.69,USA,Sigma Spectrum #985,Baxter Healthcare Corp,Sigma,2016-02-18,25,2
PRK319,Infusion Pump,10,1,0,2,1,1,8.69,0,2,0.0,Germany,Infusomat Space #133,B. Braun Melsungen AG,Infusomat,2003-12-31,23,2
PRK333,Ventilator,4,1,0,3,1,1,0.0,0,2,0.0,Germany,Evita V500 #31,Drager Medical AG & Co KGaA,Evita,2006-01-11,,1
PRK310,Infusion Pump,9,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #818,B. Braun Melsungen AG,Infusomat,2019-07-04,,1
PRK342,Defibrillator,9,1,0,3,1,1,692.06,0,2,675.66,Netherlands,HeartStart XL #351,Koninklijke Philips N.V.,HeartStart,2007-08-24,38,2
PRK350,Infusion Pump,5,1,0,2,1,1,4.05,1,2,0.0,USA,Sigma Spectrum #239,Baxter Healthcare Corp,Sigma,1992-06-16,36,3
PRK358,Physiologic Monitoring System,13,1,0,1,1,1,16.85,0,2,499.48,USA,CARESCAPE #97,GE Healthcare,GE,2002-09-26,19,2
PRK358,Infusion Pump,17,1,0,2,1,1,302.39,0,2,179.02,Ireland,Alaris GP #7,Medtronic,Alaris,2008-09-03,22,2
PRK320,Infusion Pump,7,1,0,2,1,1,1259.55,1,2,0.0,Germany,Infusomat Space #687,B. Braun Melsungen AG,Infusomat,1995-02-07,48,3
PRK319,Ventilator,3,0,0,3,1,1,209.61,0,1,33.67,Germany,Evita V500 #365,Drager Medical AG & Co KGaA,Evita,2000-03-07,28,2
PRK358,Infusion Pump,17,1,0,2,1,1,570.57,0,2,1523.09,USA,Sigma Spectrum #328,Baxter Healthcare Corp,Sigma,2019-10-28,9,2
PRK311,Infusion Pump,2,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #540,Baxter Healthcare Corp,Sigma,2010-02-15,,1
PRK300,Sphygmomanometers,11,1,0,1,2,1,0.0,1,2,0.0,Japan,HEM-907 #980,Omron Healthcare Co Ltd,Omron,2019-07-14,,1
PRK319,Sphygmomanometers,4,1,0,1,1,1,90.84,0,2,293.59,Malaysia,MV-BP100 #82,Med-Vantage Sdn Bhd,MedVantage,2015-01-03,27,2
PRK342,Defibrillator,3,0,0,3,1,1,149.11,0,2,11509.28,Netherlands,HeartStart XL #172,Koninklijke Philips N.V.,HeartStart,2010-06-04,49,2
PRK342,Infusion Pump,6,0,0,2,1,1,86.77,0,2,309.08,Ireland,Alaris GP #193,Medtronic,Alaris,1998-04-25,17,3
PRK360,Physiologic Monitoring System,9,1,0,1,1,1,37.36,0,2,214.05,USA,CARESCAPE #465,GE Healthcare,GE,2004-02-04,44,2
PRK320,Defibrillator,4,1,0,3,1,1,130.08,1,2,809.22,USA,Lifepak 20e #745,Physio-Control Inc,Lifepak,2014-05-07,36,2
PRK319,Infusion Pump,3,1,0,2,1,1,0.0,1,2,0.0,Ireland,Alaris GP #985,Medtronic,Alaris,2014-09-27,,1
PRK326,Infusion Pump,1,0,0,2,1,1,137.12,0,2,8244.33,Germany,Infusomat Space #675,B. Braun Melsungen AG,Infusomat,2010-05-20,45,2
PRK350,Ventilator,24,1,0,3,2,1,1.07,0,2,33.91,UK,Blease 8200p #198,Blease Medical Equipment Ltd,Blease,2011-08-12,8,2
PRK319,Infusion Pump,11,1,0,2,1,1,12.68,0,2,5530.44,USA,Sigma Spectrum #732,Baxter Healthcare Corp,Sigma,2018-01-02,40,3
PRK360,Physiologic Monitoring System,4,1,0,1,1,1,23.74,0,2,0.0,Japan,Life Scope #116,Nihon Kohden Corp,Nihon Kohden,2005-03-26,9,2
PRK333,Radiographic System,12,1,0,1,1,1,4.12,0,2,3607.94,Germany,Somatom #635,Siemens Healthineers,Siemens,2010-12-26,16,2
PRK350,Physiologic Monitoring System,9,1,0,1,1,1,11.24,0,2,575.14,Netherlands,IntelliVue #655,Koninklijke Philips N.V.,Philips,2019-02-10,13,2
PRK358,Infusion Pump,14,1,0,2,1,1,215.29,1,1,218.19,USA,Sigma Spectrum #242,Baxter Healthcare Corp,Sigma,2013-04-03,21,2
PRK333,Infusion Pump,7,0,0,2,1,1,106.37,0,2,2100.99,USA,Sigma Spectrum #77,Baxter Healthcare Corp,Sigma,2000-11-04,27,2
PRK342,Infusion Pump,16,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #238,B. Braun Melsungen AG,Infusomat,2003-09-03,,1
PRK320,Infusion Pump,5,0,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #402,Medtronic,Alaris,2010-01-21,,1
PRK350,Ventilator,10,0,0,3,1,1,356.08,1,1,5431.42,Germany,Evita V500 #466,Drager Medical AG & Co KGaA,Evita,2012-08-07,12,2
PRK358,Ventilator,15,1,0,3,1,1,64.69,1,2,140.87,USA,Smartvent 7900 #285,Datex-Ohmeda Inc,Smartvent,2016-02-02,11,2
PRK340,Infusion Pump,10,1,0,2,1,1,679.02,0,2,152.66,Ireland,Alaris GP #881,Medtronic,Alaris,2012-08-14,4,2
PRK319,Infusion Pump,29,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #487,Medtronic,Alaris,2004-10-09,,1
PRK360,Defibrillator,14,1,0,3,1,1,0.0,0,2,0.0,Netherlands,HeartStart XL #354,Koninklijke Philips N.V.,HeartStart,1998-06-18,,1
PRK360,Infusion Pump,12,1,2,2,1,1,294.51,0,2,462.85,Germany,Infusomat Space #92,B. Braun Melsungen AG,Infusomat,2004-01-25,26,2
PRK341,Infusion Pump,6,1,0,2,1,1,193.04,0,2,287.8,Ireland,Alaris GP #583,Medtronic,Alaris,1999-05-15,23,2
PRK360,Infusion Pump,10,1,0,2,1,1,57.61,0,2,387.57,Germany,Infusomat Space #885,B. Braun Melsungen AG,Infusomat,2008-08-26,28,2
PRK333,Physiologic Monitoring System,19,1,0,1,1,1,0.0,1,2,0.0,USA,CARESCAPE #675,GE Healthcare,GE,2014-08-24,,1
PRK326,Infusion Pump,6,1,0,2,1,1,59.38,0,1,29804.95,Germany,Infusomat Space #79,B. Braun Melsungen AG,Infusomat,2015-06-30,33,2
PRK330,Physiologic Monitoring System,4,1,0,1,1,1,3.84,0,2,7.97,USA,CARESCAPE #54,GE Healthcare,GE,2013-11-03,41,3
PRK300,Infusion Pump,6,0,0,2,1,1,0.0,0,2,217937.03,Ireland,Alaris GP #919,Medtronic,Alaris,2004-01-20,32,2
PRK340,Physiologic Monitoring System,6,1,0,1,1,1,0.0,0,2,0.0,USA,CARESCAPE #192,GE Healthcare,GE,2012-10-02,,1
PRK341,Infusion Pump,13,1,0,2,1,1,27.87,0,2,291.06,USA,Sigma Spectrum #798,Baxter Healthcare Corp,Sigma,2008-12-02,27,2
PRK311,Infusion Pump,27,1,0,2,1,1,0.0,1,2,0.0,Germany,Infusomat Space #31,B. Braun Melsungen AG,Infusomat,2018-04-29,,1
PRK319,Infusion Pump,2,1,0,2,1,1,8.87,0,2,1023.77,Ireland,Alaris GP #842,Medtronic,Alaris,1999-04-27,38,2
PRK342,Infusion Pump,9,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #64,B. Braun Melsungen AG,Infusomat,2008-01-06,,1
PRK350,Infusion Pump,4,1,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #718,Medtronic,Alaris,2017-04-05,,1
PRK360,Infusion Pump,11,0,0,2,2,1,366.59,1,2,1617.46,Ireland,Alaris GP #853,Medtronic,Alaris,2019-07-10,30,3
PRK319,Infusion Pump,12,1,0,2,1,1,5.67,1,2,10189.16,Germany,Infusomat Space #974,B. Braun Melsungen AG,Infusomat,2017-10-31,27,3
PRK358,Infusion Pump,6,0,0,2,1,1,5.03,0,2,7.8,Germany,Infusomat Space #222,B. Braun Melsungen AG,Infusomat,2015-04-03,21,3
PRK312,Sphygmomanometers,13,1,0,1,1,1,53.66,0,2,467.1,Japan,HEM-907 #800,Omron Healthcare Co Ltd,Omron,2007-09-02,14,2
PRK311,Infusion Pump,5,0,0,2,2,1,62.32,0,2,0.0,Germany,Infusomat Space #133,B. Braun Melsungen AG,Infusomat,2003-02-04,6,2
PRK342,Ventilator,5,1,0,3,1,1,0.0,0,2,0.0,USA,Carestation 650 #421,Datex-Ohmeda Inc,Carestation,2014-08-13,,1
PRK330,Sphygmomanometers,4,1,1,1,1,1,54.92,0,2,13.44,Japan,HEM-907 #492,Omron Healthcare Co Ltd,Omron,2014-04-07,37,2
PRK350,Infusion Pump,6,0,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #822,B. Braun Melsungen AG,Infusomat,2017-01-21,,1
PRK319,Physiologic Monitoring System,8,1,0,1,1,1,0.0,0,2,191.46,USA,CARESCAPE #219,GE Healthcare,GE,2014-03-26,29,3
PRK319,Defibrillator,8,1,0,3,1,1,2068.75,1,2,0.0,Netherlands,HeartStart XL #940,Koninklijke Philips N.V.,HeartStart,2001-10-22,15,3
PRK340,Physiologic Monitoring System,10,1,2,1,1,1,363.79,1,2,0.0,USA,CARESCAPE #365,GE Healthcare,GE,2015-11-09,23,2
PRK311,Infusion Pump,13,1,1,2,1,1,4.74,1,1,13.76,Ireland,Alaris GP #863,Medtronic,Alaris,2011-11-23,23,2
PRK319,Infusion Pump,10,1,0,2,1,1,123.58,0,2,344.67,USA,Sigma Spectrum #850,Baxter Healthcare Corp,Sigma,2005-11-26,30,2
PRK312,Infusion Pump,24,1,1,2,1,1,19.42,0,1,0.0,Germany,Infusomat Space #631,B. Braun Melsungen AG,Infusomat,2012-03-07,11,2
PRK319,Infusion Pump,9,1,0,2,1,1,19.4,0,2,35.01,Ireland,Alaris GP #415,Medtronic,Alaris,2018-10-10,21,2
PRK342,Radiographic System,15,1,0,1,1,1,198.19,0,2,2129.48,Germany,Somatom #916,Siemens Healthineers,Siemens,2002-01-06,34,3
PRK311,Sphygmomanometers,2,0,0,1,2,1,67.03,0,2,0.0,Malaysia,MV-BP100 #984,Med-Vantage Sdn Bhd,MedVantage,2013-01-16,34,2
PRK341,Infusion Pump,10,1,0,2,1,1,67.8,0,2,2373.57,Ireland,Alaris GP #556,Medtronic,Alaris,2000-08-25,37,2
PRK341,Physiologic Monitoring System,8,1,0,1,1,1,0.0,1,2,0.0,Japan,Life Scope #204,Nihon Kohden Corp,Nihon Kohden,2012-01-11,,1
PRK340,Infusion Pump,7,0,0,2,1,1,0.0,1,2,0.0,USA,Sigma Spectrum #215,Baxter Healthcare Corp,Sigma,1996-12-25,,1
PRK333,Defibrillator,19,1,2,3,1,1,8.82,0,2,8328.89,Netherlands,HeartStart XL #505,Koninklijke Philips N.V.,HeartStart,1999-09-03,5,2
PRK341,Infusion Pump,30,1,0,2,2,1,33.04,0,2,0.0,Germany,Infusomat Space #176,B. Braun Melsungen AG,Infusomat,2017-01-30,8,3
PRK358,Sphygmomanometers,13,1,0,1,1,1,0.0,0,2,0.0,Japan,HEM-907 #378,Omron Healthcare Co Ltd,Omron,2019-05-10,,1
PRK312,Ventilator,1,1,0,3,1,1,115.48,0,2,330.44,USA,Smartvent 7900 #698,Datex-Ohmeda Inc,Smartvent,2007-02-28,55,2
PRK350,Infusion Pump,5,1,0,2,1,1,270.31,0,2,10133.49,Ireland,Alaris GP #913,Medtronic,Alaris,2019-03-27,13,2
PRK300,Infusion Pump,2,1,0,2,1,1,39.81,0,2,7.75,Germany,Infusomat Space #351,B. Braun Melsungen AG,Infusomat,2007-11-20,55,2
PRK333,Ventilator,9,1,0,3,1,1,75.11,0,2,145994.76,USA,Carestation 650 #769,Datex-Ohmeda Inc,Carestation,2019-10-24,41,2
PRK333,Infusion Pump,12,0,1,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #92,Baxter Healthcare Corp,Sigma,2015-01-20,,1
PRK312,Infusion Pump,2,0,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #223,Baxter Healthcare Corp,Sigma,2007-03-06,,1
PRK310,Defibrillator,21,1,1,3,1,1,118.87,1,2,0.0,USA,Lifepak 20e #69,Physio-Control Inc,Lifepak,1996-12-27,14,2
PRK300,Physiologic Monitoring System,3,0,0,1,1,1,80.73,0,2,5470.61,Japan,Life Scope #399,Nihon Kohden Corp,Nihon Kohden,2008-07-22,43,2
PRK300,Infusion Pump,11,1,0,2,1,1,0.0,0,2,0.0,USA,Sigma Spectrum #128,Baxter Healthcare Corp,Sigma,2004-06-12,,1
PRK340,Infusion Pump,21,0,1,2,2,1,5.55,0,2,490.03,Ireland,Alaris GP #860,Medtronic,Alaris,2018-08-23,14,2
PRK311,Infusion Pump,10,1,0,2,1,1,9.95,0,2,159.15,Ireland,Alaris GP #772,Medtronic,Alaris,2016-07-25,17,2
PRK350,Sphygmomanometers,5,0,0,1,1,1,354.89,0,2,86.91,Malaysia,MV-BP100 #842,Med-Vantage Sdn Bhd,MedVantage,2013-07-18,44,2
PRK358,Infusion Pump,4,0,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #45,Medtronic,Alaris,2013-01-01,,1
PRK319,Infusion Pump,10,1,1,2,1,1,1334.76,1,2,15.92,USA,Sigma Spectrum #100,Baxter Healthcare Corp,Sigma,2018-07-06,16,2
PRK312,Infusion Pump,15,0,0,2,1,1,0.0,0,2,0.0,Ireland,Alaris GP #770,Medtronic,Alaris,2008-07-11,,1
PRK330,Sphygmomanometers,11,0,0,1,2,1,2.26,0,2,25579.21,USA,DS66 #859,Welch Allyn Inc,Welch Allyn,2009-04-27,17,2
PRK358,Infusion Pump,4,1,1,2,1,1,20.6,0,1,1652.03,Germany,Infusomat Space #5,B. Braun Melsungen AG,Infusomat,2008-03-12,32,2
PRK326,Defibrillator,7,1,0,3,1,1,0.94,1,2,100.86,USA,Lifepak 20e #604,Physio-Control Inc,Lifepak,2004-07-10,43,3
PRK310,Physiologic Monitoring System,4,1,0,1,1,1,2.53,0,2,1413.13,USA,CARESCAPE #77,GE Healthcare,GE,2004-08-04,26,2
PRK360,Ventilator,4,1,0,3,1,1,65.29,0,2,1.49,USA,Smartvent 7900 #80,Datex-Ohmeda Inc,Smartvent,2013-08-12,31,3
PRK333,Sphygmomanometers,4,1,0,1,1,1,3.26,1,2,33569.15,Japan,HEM-907 #871,Omron Healthcare Co Ltd,Omron,2006-03-23,9,3
PRK320,Ventilator,6,1,0,3,1,1,3.57,0,2,183.67,Germany,Evita V500 #574,Drager Medical AG & Co KGaA,Evita,1993-02-16,4,2
PRK358,Sphygmomanometers,8,1,0,1,1,1,60.18,0,1,2166.35,USA,DS66 #824,Welch Allyn Inc,Welch Allyn,2013-09-25,9,2
PRK358,Infusion Pump,9,1,0,2,1,1,62.27,0,2,584.61,USA,Sigma Spectrum #980,Baxter Healthcare Corp,Sigma,2005-10-10,9,2
PRK333,Ventilator,10,1,0,3,1,1,0.0,0,2,2532.52,USA,Smartvent 7900 #584,Datex-Ohmeda Inc,Smartvent,2017-05-04,40,3
PRK319,Physiologic Monitoring System,5,1,0,1,1,1,82.63,1,2,141624.37,USA,CARESCAPE #5,GE Healthcare,GE,2010-10-01,46,3
PRK333,Infusion Pump,8,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #226,B. Braun Melsungen AG,Infusomat,1993-09-07,,1
PRK319,Defibrillator,9,1,0,3,1,1,0.0,0,1,0.0,USA,Lifepak 20e #820,Physio-Control Inc,Lifepak,2017-01-29,,1
PRK333,Sphygmomanometers,18,1,0,1,1,1,279.34,0,2,1282.27,USA,DS66 #48,Welch Allyn Inc,Welch Allyn,2011-03-07,30,2
PRK319,Physiologic Monitoring System,2,0,0,1,2,1,61.09,0,2,278.7,USA,CARESCAPE #636,GE Healthcare,GE,2008-04-17,11,2
PRK341,Infusion Pump,2,1,0,2,1,1,135.8,0,2,120.91,USA,Sigma Spectrum #386,Baxter Healthcare Corp,Sigma,2011-08-12,12,2
PRK342,Infusion Pump,12,1,0,2,1,1,0.49,1,2,5987.99,Ireland,Alaris GP #745,Medtronic,Alaris,2008-11-01,15,3
PRK360,Infusion Pump,13,1,0,2,1,1,0.0,0,2,0.0,Germany,Infusomat Space #783,B. Braun Melsungen AG,Infusomat,2015-01-10,,1
